date,code,name,close,ma20,momentum,trend_up,selected
2024-07-26,510300,沪深300ETF,3.263,3.2945,-0.4,False,False
2024-08-02,518880,黄金ETF,5.505,5.4343,2.3,True,True
2024-08-02,510880,红利ETF,2.803,2.8491,-4.43,False,False
2024-08-02,513500,标普500ETF,1.912,1.979,-4.06,False,False
2024-08-02,513180,恒生科技ETF,0.464,0.489,-6.26,False,False
2024-08-02,510300,沪深300ETF,3.236,3.2896,-0.34,False,False
2024-08-09,518880,黄金ETF,5.396,5.4235,-0.92,False,False
2024-08-09,510880,红利ETF,2.763,2.8146,-3.83,False,False
2024-08-09,513500,标普500ETF,1.835,1.9328,-7.04,False,False
2024-08-09,513180,恒生科技ETF,0.468,0.4792,-9.3,False,False
2024-08-09,510300,沪深300ETF,3.182,3.2706,-3.81,False,False
2024-08-16,518880,黄金ETF,5.453,5.4106,0.52,True,True
2024-08-16,510880,红利ETF,2.811,2.7905,-1.88,True,False
2024-08-16,513500,标普500ETF,1.975,1.9068,-0.2,True,True
2024-08-16,513180,恒生科技ETF,0.47,0.4708,-4.28,False,False
2024-08-16,510300,沪深300ETF,3.199,3.2286,-5.61,False,False
2024-08-23,518880,黄金ETF,5.504,5.4423,2.88,True,True
2024-08-23,510880,红利ETF,2.774,2.787,-0.29,False,False
2024-08-23,513500,标普500ETF,1.964,1.9101,1.92,True,True
2024-08-23,513180,恒生科技ETF,0.468,0.468,-1.47,True,False
2024-08-23,510300,沪深300ETF,3.182,3.2036,-2.48,False,False
2024-08-30,518880,黄金ETF,5.522,5.465,0.31,True,False
2024-08-30,510880,红利ETF,2.705,2.771,-3.5,False,False
2024-08-30,513500,标普500ETF,1.978,1.917,3.45,True,True
2024-08-30,513180,恒生科技ETF,0.481,0.4672,3.66,True,True
2024-08-30,510300,沪深300ETF,3.181,3.1807,-1.7,True,False
2024-09-06,518880,黄金ETF,5.517,5.4992,2.24,True,True
2024-09-06,510880,红利ETF,2.67,2.7538,-3.37,False,False
2024-09-06,513500,标普500ETF,1.919,1.9536,4.58,False,False
2024-09-06,513180,恒生科技ETF,0.466,0.4693,-0.43,False,False
2024-09-06,510300,沪深300ETF,3.091,3.1616,-2.86,False,False
2024-09-13,518880,黄金ETF,5.611,5.5198,2.9,True,True
2024-09-13,510880,红利ETF,2.56,2.7019,-8.93,False,False
2024-09-13,513500,标普500ETF,1.941,1.9525,-1.72,False,False
2024-09-13,513180,恒生科技ETF,0.47,0.4697,0.0,True,True
2024-09-13,510300,沪深300ETF,3.017,3.1254,-5.69,False,False
2024-09-20,518880,黄金ETF,5.663,5.5352,2.28,True,True
2024-09-20,510880,红利ETF,2.589,2.6694,-6.64,False,False
2024-09-20,513500,标普500ETF,1.97,1.9525,0.15,True,False
2024-09-20,513180,恒生科技ETF,0.494,0.472,6.24,True,True
2024-09-20,510300,沪深300ETF,3.063,3.1037,-3.59,False,False
2024-09-27,518880,黄金ETF,5.708,5.5842,3.26,True,False
2024-09-27,510880,红利ETF,2.893,2.6767,5.12,True,False
2024-09-27,513500,标普500ETF,1.919,1.9454,-3.91,False,False
2024-09-27,513180,恒生科技ETF,0.586,0.4884,25.21,True,True
2024-09-27,510300,沪深300ETF,3.658,3.1434,16.27,True,True
2024-10-04,518880,黄金ETF,5.707,5.5928,3.11,True,False
